28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Clear
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
28.06.2017 00:00:00:60 |2017522182734909| TForm1.Label2Click Finish
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Clear
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UInitForms.UpdatePanelAir
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Start
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.WriteToBuffer
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=1 Position=0
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=1 Result=0
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=21 Position=1
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=21 Result=1
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=41 Position=2
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=41 Result=2
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
28.06.2017 00:00:00:60 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Finish
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Clear
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
28.06.2017 00:00:00:60 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
28.06.2017 00:00:00:60 |2017522182734909| TForm1.Label2Click Finish
28.06.2017 00:00:05:65 |2017522182734909| TForm1.lbModeClick
28.06.2017 00:00:05:65 |2017522182734909| TForm1.Label2Click Start
28.06.2017 00:00:05:65 |2017522182734909| UInitForms.UpdatePanelPrepare
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Clear
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:05:65 |2017522182734909| UInitForms.UpdatePanelAir
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Start
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.WriteToBuffer
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=1 Position=0
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=1 Result=0
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=21 Position=1
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=21 Result=1
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=41 Position=2
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=41 Result=2
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
28.06.2017 00:00:05:65 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Finish
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Clear
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
28.06.2017 00:00:05:65 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
28.06.2017 00:00:05:65 |2017522182734909| TForm1.Label2Click Finish
28.06.2017 00:00:07:67 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
28.06.2017 00:00:07:67 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
28.06.2017 00:00:07:67 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=2 IDTimeline=21
